track_name	album_name	artist_name	genres	release_date	duration_ms	popularity	explicit	is_playable
Crazy Over You	THE ALBUM	BLACKPINK	['k-pop']	2020-10-02	161945.0	55.0	False	True
Spring Snow	Lovely Runner, Pt. 8 (Original Soundtrack)	10CM	['k-ballad', 'soundtrack']	2024-05-14	201595.0	67.0	False	True
Đủ trải sẽ thấm	Đủ trải sẽ thấm	Mike	['vietnamese hip hop', 'v-pop', 'brazilian trap']	2022-08-31	268524.0	35.0	False	True
Queencard	I feel	(G)I-DLE	['k-pop']	2023-05-15	161240.0	70.0	False	True
Watermelon Sugar	Fine Line	Harry Styles	[]	2019-12-13	174000.0	78.0	False	True
ĐỀU LÀ CỦA EM (feat. Dương Domic, Anh Tú Atus, Song Luân, Quang Trung & Anh Tú)	"ANH TRAI ""SAY HI"" (Live Stage 4)"	"ANH TRAI ""SAY HI"""	['v-pop', 'vietnamese hip hop']	2024-08-26	238064.0	44.0	False	True
Tứ Phủ	Hoàng	Hoàng Thùy Linh	['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']	2019-10-20	264566.0	29.0	False	True
Anh Luôn Là Lý Do	Anh Luôn Là Lý Do	ERIK	['v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']	2021-01-13	222089.0	27.0	False	True
Shoong! (feat. LISA of BLACKPINK)	Down to Earth	TAEYANG	['k-pop']	2023-04-25	205101.0	59.0	False	True
INFERNO	HIVE	Sub Urban	[]	2022-06-03	133133.0	63.0	False	True
Moon	MAP OF THE SOUL : 7	BTS	['k-pop']	2020-02-21	208589.0	60.0	False	True
Tết Đong Đầy	Tết Đong Đầy	KHOA	['vietnamese hip hop', 'v-pop']	2022-12-09	206000.0	37.0	False	True
Maria	María	HWASA	['k-pop']	2020-06-29	199026.0	63.0	False	True
IDOL	Love Yourself 結 'Answer'	BTS	['k-pop']	2018-08-24	222732.0	67.0	False	True
Một Giấc Mơ (feat. Kimmese)	Một Giấc Mơ (feat. Kimmese)	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2020-06-19	227486.0	36.0	False	True
MOT NGUOI VI EM	MOT NGUOI VI EM	WEAN	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2020-09-25	210639.0	39.0	False	True
Tiến Hay Lùi (Nụ Hôn Bạc Tỷ Original Soundtrack)	Tiến Hay Lùi (Nụ Hôn Bạc Tỷ Original Soundtrack)	Bùi Công Nam	['v-pop', 'vietnam indie', 'vietnamese hip hop']	2025-01-21	186666.0	56.0	False	True
Please Don't Change (feat. DJ Snake)	GOLDEN	Jung Kook	['k-pop']	2023-11-03	146684.0	69.0	False	True
Siren	Siren	TGSN	['v-pop', 'vietnamese hip hop', 'vietnam indie']	2021-05-21	157066.0	39.0	False	True
Cảm ơn	Cảm ơn	Đen	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2019-10-21	215172.0	35.0	False	True
Slow Dance (feat. Sofia Carson)	MUSE	Jimin	['k-pop']	2024-07-19	188399.0	70.0	False	True
Kiss and Make Up	Dua Lipa (Complete Edition)	Dua Lipa	['pop']	2018-10-19	189173.0	67.0	False	True
Anh Tự Do Nhưng Cô Đơn	Anh Tự Do Nhưng Cô Đơn	Trung Quân	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2022-11-10	315428.0	38.0	False	True
Cơn Đau	Cơn Đau	Wren Evans	['v-pop', 'vietnam indie', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse']	2022-06-30	219058.0	36.0	False	True
Chậm Lại	Một Vạn Năm	Vũ.	['v-pop', 'vietnam indie', 'vietnamese lo-fi']	2022-09-09	223384.0	33.0	False	True
Enemy (with JID) - from the series Arcane League of Legends	Mercury - Acts 1 & 2	Imagine Dragons	[]	2022-07-01	173381.0	76.0	False	True
Đừng Vì Anh Mà Khóc		Quang Hùng MasterD						
Cô Gái Này Là Của Ai? (feat. Rush, Nhi Nhi)	Cô Gái Này Là Của Ai? (feat. Rush & Nhi Nhi)	Krix	['v-pop', 'vietnamese hip hop']	2021-02-19	166120.0	29.0	False	True
Show Me Love	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	154917.0	43.0	True	True
Đừng để nước mắt rơi (feat. Obito)	VSTRA	VSTRA	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2023-11-11	205631.0	47.0	False	True
How Sweet	How Sweet	NewJeans	['k-pop']	2024-05-24	219026.0	74.0	False	True
Out of Time	Dawn FM	The Weeknd	[]	2022-01-06	214193.0	71.0	False	True
What It Is (Solo Version)	What It Is (Versions)	Doechii	[]	2023-03-17	189824.0	73.0	True	True
Way Back Home	Take	SHAUN	['k-pop']	2018-06-27	214136.0	63.0	False	True
Diễn viên tồi	Diễn viên tồi	Đen	['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']	2022-09-13	349793.0	33.0	False	True
Đoạn Kết Mới	Yên	Hoàng Dũng	['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2022-08-24	294720.0	45.0	False	True
I Don’t Wanna Live Forever (Fifty Shades Darker)	reputation Stadium Tour Surprise Song Playlist	ZAYN	[]	2017-11-09	247160.0	78.0	False	True
Matsuri	LOVE ALL SERVE ALL	Fujii Kaze	['j-pop']	2022-03-23	225920.0	63.0	False	True
00:00 (Zero O’Clock)	MAP OF THE SOUL : 7	BTS	['k-pop']	2020-02-21	250295.0	62.0	False	True
Va Vào Giai Điệu Này	99%	RPT MCK	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2023-03-02	190303.0	44.0	False	True
fuck, i'm lonely	~how i'm feeling~	Lauv	[]	2020-03-06	198973.0	59.0	True	True
Chơi Vơi	Chơi Vơi	K-ICM	['v-pop', 'vinahouse', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']	2022-04-20	278400.0	7.0	False	True
Take It Easy (feat. Liu Grace)	Rap Việt Mùa 3 (2023) - Tập 11	RAP VIỆT	['vietnamese hip hop', 'v-pop']	2023-08-06	164571.0	32.0	False	True
Snow On The Beach (feat. More Lana Del Rey)	Midnights (The Til Dawn Edition)	Taylor Swift	[]	2023-05-26	229942.0	68.0	True	True
YOU (feat. Song Luân, Anh Tú Atus, Captain & Quang Trung)	"ANH TRAI ""SAY HI"", Tập 5"	"ANH TRAI ""SAY HI"""	['v-pop', 'vietnamese hip hop']	2024-07-15	196691.0	41.0	False	True
LayLaLay	LayLaLay	Jack - J97	['v-pop', 'vietnamese lo-fi', 'vinahouse']	2023-01-19	291086.0	26.0	False	True
Stay Gold	MAP OF THE SOUL : 7 ~ THE JOURNEY ~	BTS	['k-pop']	2020-07-14	243266.0	56.0	False	True
PS5	(MORE) Unsponsored Content	salem ilese	[]	2022-10-07	152214.0	63.0	False	True
01 Chuyện Dở Dang	Suýt 1	Ngọt	['vietnam indie', 'v-pop', 'vietnamese hip hop']	2024-02-23	211777.0	45.0	False	True
willow	evermore	Taylor Swift	[]	2020-12-11	214706.0	70.0	False	True
Vũ Trụ Có Anh (feat. Pháo)	Vũ Trụ Cò Bay	Phương Mỹ Chi	['v-pop', 'vietnamese bolero']	2023-09-18	220957.0	44.0	False	True
Bao Nhiêu Loài Hoa Remix (feat. tlinh, Machiot)	Bao Nhiêu Loài Hoa Remix (feat. tlinh, Machiot)	KayC	['vietnamese hip hop', 'v-pop', 'vietnam indie']	2024-06-25	155416.0	48.0	False	True
