artist	track	wks	t10	pk_rank	pk_streams	total_streams
buitruonglinh	Dù Cho Mai Về Sau - Acoustic Version	116	0	67	175516	8872941
Lê Hiếu	Ngày Mai Em Đi	204	3	2	274020	8815981
Andree Right Hand	Dân Chơi Sao Phải Khóc	40	0	16	533946	8706194
Jin	Running Wild	14	3	2	2125667	8703875
Changg	Lỡ Say Bye Là Bye	106	2	8	192270	8656000
Sean	Em Thích	88	0	65	168483	8593835
Jimin	Like Crazy (English Version)	32	6	2	1062322	8548448
Jimin	Be Mine	27	1	7	720754	8516808
BLACKPINK	Pink Venom	54	6	3	932876	8460176
Phí Phương Anh	Răng Khôn	102	3	6	230925	8458073
Hayd	Head In The Clouds	67	3	3	356774	8354735
Alec Benjamin	Let Me Down Slowly	195	17	2	68408	8344716
The Weeknd	Die For You	82	0	49	171257	8276387
kis	Tình Ca Tình Ta	85	0	19	139521	8270179
hooligan.	To The Moon	110	0	18	116533	8254959
Kodak Black	Angel Pt. 1	18	5	1	2475508	8218536
JISOO	FLOWER	29	5	2	1314468	8202696
Jimin	Set Me Free Pt.2	38	3	1	1200870	8180116
Wxrdie	TETVOVEN	39	0	39	362039	8168835
Maroon 5	Memories	125	25	1	144251	8145275
BLACKPINK	How You Like That	104	13	1	593110	8100765
T Team	Muốn Nói Với Em	135	0	12	97696	8075687
Dangrangto	Love is	17	0	23	568467	8031434
Hoàng Thùy Linh	See Tình	68	5	7	213291	8003209
Jimin	Smeraldo Garden Marching Band	9	5	1	2817972	7990805
Da LAB	Nước Mắt Em Lau Bằng Tình Yêu Mới	72	0	114	158410	7966718
Chillies	Giấc Mơ Khác	57	0	14	296463	7963169
AMEE	ex's hate me, Pt. 2	87	0	13	189465	7867564
VSTRA	Internet Love	115	0	56	142259	7864980
Phan Mạnh Quỳnh	"Sau Lời Từ Khước (Theme Song From ""MAI"")"	21	4	3	964968	7849758
Thịnh Suy	Thắc Mắc?	52	0	110	211593	7830158
Ariana Grande	7 rings	156	26	1	98838	7778949
BLACKPINK	Shut Down	51	4	2	1042174	7756756
Agust D	People Pt.2	33	3	3	825738	7745030
Hoàng Thùy Linh	I Am Not Thuy Kieu	127	13	1	210493	7678762
B Ray	Cao Ốc 20	45	0	109	240540	7655372
ILLIT	Magnetic	24	5	5	739842	7611298
Binz	Bigcityboi	75	18	1	407040	7559340
Dương Domic	Tràn Bộ Nhớ	13	3	7	794113	7522716
Sơn Tùng M-TP	MAKING MY WAY	23	4	2	1868074	7476733
Negav	Mình Anh Thôi	24	0	18	587251	7475745
"ANH TRAI ""SAY HI"""	CATCH ME IF YOU CAN	28	0	27	383332	7440392
Ariana Grande	we can't be friends (wait for your love)	35	0	17	469366	7387322
Obito	Đánh Đổi	33	0	61	292681	7384756
Anne-Marie	2002	213	0	21	65221	7377388
Sabrina Carpenter	Espresso	32	0	13	375510	7340580
Hiền Hồ	Gặp Nhưng Không Ở Lại	84	4	1	267879	7337865
Gill	Mắt Xanh	57	0	60	180316	7295675
Obito	Tell the kids i love them (ft. Shiki)	38	0	30	289685	7274687
Chillies	Có Em Đời Bỗng Vui	121	1	6	108923	7254143
Bích Phương	từ chối nhẹ nhàng thôi	68	12	1	252135	7252607
Hà Anh Tuấn	Tháng Mấy Em Nhớ Anh?	89	6	2	284147	7223581
Hứa Kim Tuyền	Sài Gòn Đau Lòng Quá	68	9	1	337899	7167098
Juky San	Phải Chăng Em Đã Yêu?	78	12	2	317180	7136139
"ANH TRAI ""SAY HI"""	QUAY ĐI QUAY LẠI	23	0	14	573422	7068223
An Vũ	Chàng Trai Bất Tử	39	0	56	267757	7065889
Uyên Linh	Giữa Đại Lộ Đông Tây	93	1	6	251507	7051410
Đen	Anh Đếch Cần Gì Nhiều Ngoài Em	168	18	1	100002	7033408
Chọn gì? Chọn đi!	Say Yes (Vietnamese Version)	23	0	30	452918	7018030
Andiez	1 Phút	183	0	21	175163	7015412
BTS	Take Two	19	5	2	2131906	6823734
Hứa Kim Tuyền	hai mươi hai (22)	59	7	3	269420	6744922
Justin Bieber	Peaches	71	6	6	214508	6655923
NewJeans	Ditto	36	8	1	525224	6655429
Phuc Du	yêu anh đi mẹ anh bán bánh mì	49	0	28	235608	6647618
kidsai	GIAYPHUT	64	0	35	131711	6635886
"ANH TRAI ""SAY HI"""	TRÓI EM LẠI	24	0	27	444311	6635336
"ANH TRAI ""SAY HI"""	ANH BIẾT RỒI	23	0	19	508333	6607814
Bích Phương	em bỏ hút thuốc chưa?	72	11	1	376511	6602536
Đen	Trốn Tìm	66	6	1	825252	6503373
TRANG	Ngã Tư Không Đèn	49	1	10	208711	6498992
FIFTY FIFTY	Cupid - Twin Ver.	25	4	7	482567	6496054
Jung Kook	Never Let Go	10	5	2	2370268	6484695
LeeHi	ONLY	83	5	8	166509	6453377
Chillies	Và Thế Là Hết	145	0	19	82007	6437342
Bruno Mars	Leave The Door Open	75	10	3	236304	6434820
Bùi Anh Tuấn	Thuận Theo Ý Trời	92	0	62	137463	6417064
Joji	Glimpse of Us	49	7	3	464910	6402777
AMEE	ưng quá chừng	27	3	2	517456	6353598
SOOBIN	Vai Lan Don Dua	197	0	48	273953	6349601
Lewis Capaldi	Someone You Loved	145	0	18	72849	6338208
BTS	Run BTS	37	7	2	1201623	6326894
Văn Mai Hương	Mưa Tháng Sáu	36	3	6	557988	6321933
AMEE	ex's hate me, Pt.2	33	0	78	231368	6303180
The Masked Singer	Khóa Ly Biệt	34	0	53	309262	6268633
Vũ.	Đông Kiếm Em	208	0	57	137478	6261786
Jimin	With you	34	7	1	971149	6261737
Halsey	Without Me	158	26	3	59530	6247841
Phạm Nguyên Ngọc	Mặt Mộc	55	0	27	175174	6235974
Ariana Grande	positions	102	4	1	175061	6203623
Ariana Grande	intro (end of the world)	30	0	13	471365	6172516
Vũ.	Dành Hết Xuân Thì Để Chờ Nhau	31	0	13	532444	6159361
Binz	Cho Mình Em	84	0	32	176075	6159059
W/N	2 4	17	2	8	710654	6126408
Bích Phương	Một Cú Lừa	69	10	1	250301	6110843
52Hz	ĐỢI (SPECIAL VERSION)	30	0	83	267489	6107202
Lil Wuyn	TOKYO Cypher	30	0	45	293725	6057843
Quang Hùng MasterD	Thủy Triều	31	0	69	243210	6014495
Stephen Sanchez	Until I Found You	49	0	43	190041	6003107
Low G	Okeokeoke	59	0	103	169865	5977950
Khiem	Yên Bình Có Quá Đắt Không	22	0	12	471119	5975863
Vũ Cát Tường	Vet Mua	45	0	104	221842	5913121
j-hope	MORE	22	8	1	1061184	5908520
HYBS	Tip Toe	33	0	52	264419	5896961
"ANH TRAI ""SAY HI"""	LOVE SAND	22	0	23	387295	5869522
VSOUL	NGTANOISE	41	0	83	172179	5854938
tlinh	ghệ iu dấu của em ơi	40	0	52	196049	5834278
Phương Ly	Missing You	65	8	3	199708	5771896
BLACKPINK	Typa Girl	48	2	3	796576	5732496
TIA	Ai Đưa Em Về	101	0	56	98643	5725469
MIN	Cà Phê	66	0	19	144130	5720367
AMEE	trời giấu trời mang đi	77	0	52	177255	5697999
Hà Anh Tuấn	Tháng Tư Là Lời Nói Dối Của Em	42	0	49	212485	5639525
DMT	Ổ Quỷ	21	0	15	371344	5627909
Madihu	Không Còn Em	31	0	17	276968	5613625
Sáo	Ngồi Nhìn Em Khóc	46	0	95	144681	5598699
NewJeans	OMG	34	6	3	415423	5583446
tlinh	thế giới thần tiên	43	0	62	191321	5574152
Hoàng Thùy Linh	Bo Xì Bo	31	4	5	290256	5566253
B Ray	Anh Luôn Như Vậy	20	2	10	497288	5544707
keshi	LIMBO	32	0	21	316704	5528032
Powfu	death bed	95	14	2	110649	5502721
BTS	Filter	73	5	1	544133	5500733
JustaTee	Làm Gì Phải Hốt	116	0	16	300179	5481224
Wren Evans	Cầu Vĩnh Tuy	18	0	16	569627	5465084
buitruonglinh	Giờ Thì	10	0	11	710311	5440106
Winno	Say Đắm Trong Lần Đầu	56	0	142	148299	5433048
CAPTAIN BOY	Ừ Thì Chia Tay	17	0	34	423305	5408170
B Ray	Xin Đừng Nhấc Máy	77	1	9	181738	5366270
The Masked Singer	Ngày Mai Người Ta Lấy Chồng	35	0	39	238571	5359051
"ANH TRAI ""SAY HI"""	I'M THINKING ABOUT YOU	19	0	15	533835	5338031
SIVAN	haydeanhduoccungemdau	41	0	140	181919	5330355
Charlie Puth	Attention	177	0	21	162557	5314871
SOOBIN	Ai Mà Biết Được	18	2	9	535264	5277866
Troye Sivan	Angel Baby	57	5	7	216804	5254888
RAP VIỆT	Anh Là Ai?	24	1	4	457464	5195822
Ngọt	Đá tan	43	0	55	168179	5193949
Hoàng Thùy Linh	Love of Ghosts	88	11	2	171975	5183425
Jeremy Zucker	comethru	138	0	16	56370	5172901
Obito	Đầu Đường Xó Chợ (ft. Lăng LD)	35	0	39	246100	5163203
Wren Evans	Để Ý	18	1	10	515495	5142964
Stephanie Poetri	I Love You 3000	113	9	5	83559	5137415
JENNIE	Mantra	13	1	6	1023284	5090332
PC	Ghé Qua	28	0	84	226689	5059199
tlinh	Gái Độc Thân	86	0	17	142463	5048914
Jimin	Closer Than This	13	3	3	1183389	5041683
Taylor Swift	Blank Space	172	0	51	125211	5032515
Billie Eilish	bad guy	89	20	3	89605	5027830
Phan Mạnh Quỳnh	Có Chàng Trai Viết Lên Cây	93	7	2	170410	4956109
Hà Nhi	Lâu Lâu Nhắc Lại	42	0	28	172183	4912795
Bella Poarch	Build a Bitch	52	8	3	360207	4903528
BTS	Euphoria	167	2	4	173617	4895864
VSTRA	PHONG	48	0	29	183675	4886508
Tama	Ngày Em Đẹp Nhất	41	0	104	137205	4882950
Hoàng Thùy Linh	De Mi Noi Cho Ma Nghe	94	19	3	139024	4859900
ERIK	Dịu Dàng Em Đến	58	0	29	117193	4821415
Olivia Rodrigo	drivers license	86	1	7	175786	4798246
Tyronee	Track 06	11	0	15	658324	4788804
Hoài Lâm	Hoa Nở Không Màu	62	6	7	159552	4749550
Đức Phúc	Em Đồng Ý (I Do)	24	3	2	506807	4707264
Melanie Martinez	Play Date	81	11	2	164683	4695120
Chillies	Vùng Ký Ức	74	9	1	178359	4683771
Jin	The Astronaut	23	6	1	820876	4670100
Đen	Hai Triệu Năm	113	5	3	111189	4669461
SOOBIN	The Playah (Special Performance)	58	7	5	244380	4621009
Sơn Tùng M-TP	THERE'S NO ONE AT ALL	30	6	1	1015097	4602607
Đức Phúc	Cũng Đành Thôi	137	0	63	141254	4598631
SUNI	Cảm Nắng	63	0	77	115277	4593943
W/N	id T41104	24	0	26	344898	4582116
Phạm Nguyên Ngọc	Sao Em Lại Tắt Máy?	82	0	103	89122	4557462
Đức Phúc	Ngày Đầu Sau Chia Tay	24	0	54	258987	4546681
AMEE	Cuộc gọi lúc nửa đêm	15	0	11	568782	4475128
Dept	Van Gogh	27	0	41	316847	4437586
Shiki	Có Đôi Điều	8	0	11	749823	4435126
Vũ.	Nếu Những Tiếc Nuối	16	0	47	387220	4403453
BLACKPINK	Lovesick Girls	62	6	1	540170	4386162
Glass Animals	Heat Waves	60	0	28	121593	4361773
Quân A.P	Bông Hoa Đẹp Nhất	91	0	32	151996	4357434
Tiên Tiên	Đâu Cần Một Bài Ca Tình Yêu	109	5	5	63874	4329759
ERIK	Em Không Sai, Chúng Ta Sai	74	0	25	384742	4311014
Ed Sheeran	Bad Habits	60	3	3	255683	4304348
tlinh	người điên	23	1	10	384388	4298371
Ariana Grande	thank u, next	116	22	1	64714	4297190
BTS	Black Swan	63	12	1	509681	4281676
Hoàng Dũng	Thói Quen (25 mét vuông)	62	0	39	99537	4280952
Wxrdie	Bước Za Đi Xa	21	0	61	291679	4279139
j-hope	Arson	19	4	1	1014634	4250576
NewJeans	Hype Boy	38	0	20	167525	4225676
Ngô Lan Hương	Đi Giữa Trời Rực Rỡ	14	0	41	348854	4217865
Wxrdie	Tim Anh Ghen	14	0	43	392044	4215652
JENNIE	SOLO	124	11	2	111867	4213901
ERIK	Dù Cho Tận Thế	2	2	1	2230677	4210589
Thanh Hưng	Lao Tâm Khổ Tứ	24	0	122	200639	4191585
Đen	Trời hôm nay nhiều mây cực!	73	4	1	219394	4191519
RAP VIỆT	Khi Cơn Mơ Dần Phai	16	2	5	739669	4186371
BTS	FAKE LOVE	133	16	1	222114	4180406
Miu Lê	Vì Mẹ Anh Bắt Chia Tay	25	7	2	511007	4167999
Dương Domic	Pin Dự Phòng	13	0	38	400582	4152749
BLACKPINK	Kill This Love	95	11	1	282788	4126714
Thái Đinh	Phố Không Em	125	0	62	49079	4120018
Tones And I	Dance Monkey	66	14	1	143157	4113403
BLACKPINK	Hard to Love	34	2	5	720712	4104486
Justin Bieber	Intentions	68	14	1	142282	4093891
Ariana Grande	34+35	69	0	14	109835	4078291
Tate McRae	greedy	30	0	107	156741	4054012
Thịnh Suy	Mai Mình Xa	28	0	85	190265	4043214
Low G	Bảo Tàng	22	0	33	337851	4034281
My Anh	Real Love	63	0	32	94073	4020474
RAP VIỆT	ANH ĐÃ LÀM GÌ ĐÂU	12	0	22	680071	4018943
Obito	Simple Love	31	0	155	145182	4000986
aespa	Supernova	18	0	15	374331	3999184
ROSÉ	drinks or coffee	11	0	25	650026	3985327
RAP VIỆT	ĐÂU PHẢI VỢ ANH	15	0	48	367774	3976311
Cầm	Có Đâu Ai Ngờ	37	0	23	173723	3968554
LISA	LALISA	39	7	1	506931	3967435
K-ICM	Chim Quý Trong Lồng	30	7	4	232108	3959710
Lil Nas X	INDUSTRY BABY	52	0	13	118427	3924364
The Weeknd	Blinding Lights	97	0	39	108889	3924240
RAP VIỆT	LƯỚT TRÊN CON SÓNG	13	0	27	585958	3894736
RAP VIỆT	Va Vào Giai Điệu Này	57	5	2	243669	3880483
Phạm Lịch	Là Anh	22	0	14	361586	3877342
Fujii Kaze	Shinunoga E-Wa	36	0	58	139054	3869515
JENNIE	You & Me	17	1	7	565826	3866101
benny blanco	Bad Decisions	17	5	1	1026899	3851159
SK Pictures	Đi Giữa Trời Rực Rỡ (Original Soundtrack from “Đi Giữa Trời Rực Rỡ”)	12	0	34	425322	3844994
